Region,Poblacion,Coordinates
Antofagasta,265671936.0,"(-23.652, -70.402)"
Arica y Parinacota,96810240.0,"(-18.475, -70.303)"
Atacama,120848256.0,"(-27.367, -70.33)"
Aysén del General Carlos Ibáñez del Campo,40948224.0,"(-45.5, -72.0)"
Biobío,638859264.0,"(-37.0, -72.5)"
Coquimbo,321060864.0,"(-30.0, -71.25)"
La Araucanía,389507712.0,"(-38.75, -72.6)"
Libertador General Bernardo O'Higgins,380568192.0,"(-34.633, -71.0)"
Los Lagos,342312960.0,"(-41.47, -73.0)"
Los Ríos,155840640.0,"(-39.8, -73.25)"
Magallanes y de la Antártica Chilena,68422536.0,"(-53.15, -70.9)"
Maule,434664576.0,"(-35.417, -71.65)"
Metropolitana de Santiago,3120027648.0,"(-33.45, -70.667)"
Tarapacá,146984832.0,"(-20.25, -69.55)"
Valparaíso,752639168.0,"(-33.05, -71.6)"
Ñuble,196435584.0,"(-36.6, -72.0)"
